"gene","MCF10A"
"ENSG00000000003",23.1474826703332
"ENSG00000000005",0
"ENSG00000000419",49.2926328540982
"ENSG00000000457",6.55278900521344
"ENSG00000000460",32.2275816482716
"ENSG00000000938",0.0524299525787279
"ENSG00000000971",1.74587419683186
"ENSG00000001036",71.9624765431542
"ENSG00000001084",68.7343453965318
"ENSG00000001167",40.7022148898923
"ENSG00000001460",6.62381951581619
"ENSG00000001461",43.5918267887331
"ENSG00000001497",30.45957730148
"ENSG00000001561",0.699462371026124
"ENSG00000001617",58.0843502654796
"ENSG00000001626",0
"ENSG00000001629",29.5652878099673
"ENSG00000001630",5.85193812610968
"ENSG00000001631",4.43633328148388
"ENSG00000002016",11.6072681322114
"ENSG00000002079",0.552356395935268
"ENSG00000002330",60.8416213055788
"ENSG00000002549",84.0797731680027
"ENSG00000002586",0
"ENSG00000002587",0.0715139473914927
"ENSG00000002726",0.841418330191284
"ENSG00000002745",0
"ENSG00000002746",0.0831603512656712
"ENSG00000002822",1.7134370062251
"ENSG00000002834",166.572806163363
"ENSG00000002919",18.2898339963639
"ENSG00000002933",0
"ENSG00000003056",129.01255744149
"ENSG00000003096",5.27416993315384
"ENSG00000003137",10.3583974990784
"ENSG00000003147",4.28221323577497
"ENSG00000003249",2.30916021431449
"ENSG00000003393",14.9948776458871
"ENSG00000003400",0.95574029341461
"ENSG00000003402",9.36870193273182
"ENSG00000003436",11.1205123004594
"ENSG00000003509",17.1396797816376
"ENSG00000003756",41.0542321046398
"ENSG00000003987",0.0390709693348915
"ENSG00000003989",72.6780435805051
"ENSG00000004059",74.9794121143225
"ENSG00000004139",0.058005683765027
"ENSG00000004142",147.530473446841
"ENSG00000004399",9.0032367521628
"ENSG00000004455",92.9748661217348
"ENSG00000004468",0.0109639102216723
"ENSG00000004478",280.496974513295
"ENSG00000004487",129.83162952056
"ENSG00000004534",52.2901386271932
"ENSG00000004660",18.7299731883683
"ENSG00000004700",90.6343409226317
"ENSG00000004766",10.8619966644451
"ENSG00000004776",0.214681657994302
"ENSG00000004777",2.25978617685055
"ENSG00000004779",191.764213688067
"ENSG00000004799",0.353472443313001
"ENSG00000004809",0
"ENSG00000004838",0.175848817074716
"ENSG00000004846",0
"ENSG00000004848",0.0213052161232773
"ENSG00000004864",71.0396497945322
"ENSG00000004866",18.9624410093593
"ENSG00000004897",92.1779687315186
"ENSG00000004939",0
"ENSG00000004948",0
"ENSG00000004961",42.4018961924123
"ENSG00000004975",35.2893760794261
"ENSG00000005001",0
"ENSG00000005007",93.6683765850793
"ENSG00000005020",21.479131059408
"ENSG00000005022",821.030911114276
"ENSG00000005059",31.7587716196371
"ENSG00000005073",0.97081885916619
"ENSG00000005075",52.8434678806481
"ENSG00000005100",58.3278076530888
"ENSG00000005102",0
"ENSG00000005108",0.011902527986553
