"gene","Hs 578T","SR-786","NCI-H226","UO-31","Malme-3M","HT-29","786-O","MDA-MB-231","RPMI 8226","HOP-92","HOP-62"
"ENSG00000121410","5.92860719930895","5.03957710306068","3.02680005934372","3.12267271882414","5.19574129324645","0.0285691521967709","0","3.36597242759338","2.21101219348551","5.07510472220949","4.78711898281334"
"ENSG00000175899","0.124328135002202","0.111031312388744","0.250961573533219","0.344828496997441","7.60910484661896","0.124328135002202","0.16349873228288","0.464668267003444","0.111031312388744","0.214124805352847","0.150559676575381"
"ENSG00000171428","1.50080205305716","3.47118746038699","1.84799690655495","2.73768676140986","3.00180224263398","0.956056652412403","1.89141918684608","2.83592407425437","1.94110631094643","1.38404980679516","1.73552217729654"
"ENSG00000156006","0.0285691521967709","0","0.150559676575381","0.070389327891398","0","0.070389327891398","0.0285691521967709","0.070389327891398","0","0","0.0565835283663675"
"ENSG00000196136","0.238786859587116","0.895302621333307","0.0976107966264223","0.575312330687437","3.77925972037238","1.0496307677246","0.0840642647884745","0.286881147788161","0","0.137503523749935","2.19849415363908"
"ENSG00000114771","0.0285691521967709","0","0.22650852980868","0","0","2.64385618977472","0","0.250961573533219","0.01435529297707","0.0285691521967709","0.782408564927373"
"ENSG00000127837","6.32084566764572","6.39968380899701","6.17632277264046","6.23246889628851","6.58315800387441","6.88410945135923","6.36124198846498","6.37121034345557","6.0518071070133","6.65563804923464","6.58406053442676"
"ENSG00000129673","0","0","0.150559676575381","0.263034405833794","0.389566811762726","0.0565835283663675","0.263034405833794","0.01435529297707","0.432959407276106","0.344828496997441","0.0565835283663675"
"ENSG00000090861","7.71328340023074","8.37068740680722","6.84373265661131","7.34127418369217","5.90496571868403","6.42710328715284","7.11259588801209","5.82400405093315","7.13729858092114","6.85461908396104","7.09106507793054"
"ENSG00000183044","0.432959407276106","2.48284828306847","3.4905701304462","2.96347412397489","1.56071495447448","0.622930350920177","0.137503523749935","0.516015147003665","0.22650852980868","0.505890929729957","1.26303440583379"
"ENSG00000165029","1.60407132366886","3.24184018356467","2.46205231879643","4.58556349845569","1.90303827011291","0.739848102699327","5.28466218548316","3.52481592835751","0.124328135002202","4.19298316997399","3.0071955014042"
"ENSG00000107331","5.70846316507212","5.75328361646088","2.25701061820602","3.5933537709803","4.39369076418745","6.40497122358917","5.70071713282148","4.66391384211598","5.00629802390037","4.76659516172927","4.06695024392463"
